naslov,mesec,leto,jezik,število besed,komentarji,kudos,bookmarks,hits,napisana poglavja,vsa poglavja,avtor
A Present,1,2014,English,1230,102,10234,694,87917,1,1,Faith Wood (faithwood)
The Ordeal of Being Known,3,2021,English,146637,2341,24414,8988,795709,14,14,louisfake
Wear Me Like A Locket Around Your Throat,10,2019,English,220150,3616,24463,7107,785263,29,ni podatka,VivyPotter
The Lily Spell,8,2021,English,86512,1011,14447,3317,371454,16,16,pickledghost
If we could turn back time,3,2022,English,54298,710,12685,2915,258528,7,7,MBlack93
Her Beauty and the Moonlight,5,2017,English,37484,1687,14688,3317,366019,11,11,BrilliantLady
Sexplanations (Of the Horrible Sort),9,2018,English,7048,409,10312,1580,112083,1,1,bixgirl1
Another Chance,8,2024,English,244198,2784,10742,4531,587437,50,50,clover_and_ink
Constellations on your skin,12,2022,English,56439,303,9061,2349,131876,5,5,shushu_yaoi_lj
Cascade,1,2022,English,18738,343,8463,1939,86120,1,1,Avonne
Harry Potter and the Truth of the Traitor,3,2018,English,106256,988,9958,727,209665,12,12,orphan_account
Lily's Boy,1,2022,English,746386,12759,77780,22788,4529719,109,109,SomewheresSword
Harry Potter and the Greatest Show,7,2022,English,177701,7724,43519,13587,1299301,25,ni podatka,shadowscribe
To Woo a Witch,1,2024,English,43368,735,10824,2999,237213,8,8,MyDelphi
Harry Potter and the Problem of Potions,6,2017,English,184441,7586,20483,5752,745840,162,162,Wyste
The Best Mistake,3,2024,English,127444,1608,10720,3614,451054,26,26,Chels_Writes_a_Fic
We Were Infinite,1,2024,English,347740,3453,8690,2100,358328,108,ni podatka,TazManic
Harry Potter and the Avatar's Return,5,2016,English,9147,527,8795,1987,82611,1,1,pristineungift
The Art of Seating Etiquette,9,2020,English,9734,241,8977,2312,147742,1,1,inadaze22
that’s the art of getting by,7,2021,English,40459,5198,46536,14925,948616,17,17,sarewolf
Let's Try Again,11,2019,English,618096,2685,23623,8010,1644438,29,29,DayDreamer315
The Train to Nowhere,8,2023,English,541509,8630,17120,5127,857929,84,ni podatka,MayMarlow
papa says harry potter helps people,4,2018,English,10055,203,9337,1489,69449,1,1,jilliancares
Double-Aspect Paradox,6,2025,English,106937,6143,11144,2976,246669,17,ni podatka,TimaeusKosmou
Sectumsempra,11,2021,English,135902,1694,14916,1157,327709,25,25,JessalynMichele
Said the Tortoise to the Hare,4,2012,English,12418,156,14964,2697,152254,1,1,Lomonaaeren
"Wait, What?",1,2014,English,2777,411,12886,2141,143095,1,1,esama
Unexpected Consequences,4,2015,English,39192,478,12579,2449,224278,7,7,lauren3210
Lightning Scars &amp; Metal Hearts,8,2023,English,417287,5886,18899,5895,930529,96,96,JessalynMichele
Light in August,11,2017,English,21057,352,10608,3290,148081,1,1,newsom
The Willing,6,2024,English,60397,1253,8800,2195,171076,20,20,Lomonaaeren
"This, Too, Is Sacred",4,2019,English,86041,2039,12159,4262,387659,23,23,HeartOfAspen
Harry's Years,5,2018,English,25409,892,10693,2068,215903,12,12,elvirakitties
The Meaning of Dandelions,3,2017,English,72013,2334,10633,891,178186,10,10,Endrina
Snake Shop,4,2021,English,20080,675,12454,3531,104124,5,5,wynnebat
Magnificent,1,2014,English,19477,262,12441,3591,150392,1,1,esama
Business,1,2014,English,12460,752,27576,7180,339903,1,1,esama
Finding Home,12,2023,English,177520,1408,8540,2593,414685,30,ni podatka,dearjayycee
Life skills outside the curriculum,9,2016,English,66238,2536,17053,5419,266532,11,11,Endrina
Eternally Consistent,3,2016,English,44536,920,12507,3580,299865,12,12,kitsunealyc
Be My Baby,1,2025,English,203601,2337,8667,2304,686513,37,45,OneEqualTemper
Play Dates,4,2017,English,7722,284,12136,1887,143505,1,1,bixgirl1
Burning the Ground,9,2013,English,10256,210,10207,1849,194607,1,1,lq_traintracks (lumosed_quill)
Osculum Annuum,8,2023,English,75768,892,10105,3077,245727,11,11,MyDelphi
The Antlered Lion,8,2025,English,592404,2794,9445,3134,527553,36,ni podatka,StarLight_Massacre
The Speaker and His Wraiths,9,2024,English,189945,4665,8571,2434,331060,69,69,ATiredAndDeadWriter
I Can't Carry This Anymore,7,2025,English,99817,8250,17393,3702,579760,82,85,lemonchase
Bewildered,7,2023,English,147505,1312,13741,4200,564489,39,39,SparrowGrim
Oh God Not Again!,9,2015,English,151873,8245,75025,18909,3123887,50,50,Sarah1281
"Bright Star, Steadfast Thou Art",8,2025,English,109623,4172,9735,3123,461445,39,ni podatka,NinaMaya
Rock-a-bye Sweet Baby James,6,2018,English,28402,148,8748,1733,122937,1,1,Femme (femmequixotic)
The Watergaw,7,2021,English,39811,1342,14115,4329,293879,10,10,ectoheart
In The Forest Of Dean,12,2021,English,961533,4856,8726,2923,768235,87,87,T3Tohru
Malicious Intent,10,2021,English,6682,238,8116,1676,205727,1,1,morriganmercy
Beneath a Big Blue Sky,6,2021,English,68298,1216,9750,3890,240273,10,10,eyra
One of Those Nights,9,2016,English,7679,395,12184,2233,222769,1,1,loveglowsinthedark
Salt on the Western Wind,7,2013,English,60549,599,15850,4571,252181,1,1,Saras_Girl
Immaculate,6,2022,English,33312,470,8154,1654,100385,7,7,Lomonaaeren
all my cards are here,6,2021,English,112252,1568,15925,4428,471661,18,18,haey1
Mind Magic,2,2021,English,302405,2339,9163,2701,408602,28,28,Snickerdoodlepop
The Chamber of Secrets and Half the Adults are Idiots,3,2018,English,42832,1711,10086,1292,257320,33,33,Des98
IN SICKNESS AND IN HEALTH.,6,2016,English,114776,657,8982,2150,221307,15,15,misteeirene
For Now You Love Me,6,2017,English,14068,158,10653,1542,125008,5,5,orphan_account
In His Nature,4,2015,English,20585,181,10696,1894,165650,1,1,Create_Serenity (Sivany)
Antithesis,10,2018,English,417143,2701,9501,3032,447374,81,81,Oceanbreeze7
In Our Blood,6,2018,English,37856,434,14504,3519,193697,1,1,secretsalex
Hmm,8,2019,English,6410,219,9141,1384,74546,1,1,Wolven_Spirits
Diagnosis,9,2018,English,282456,1795,8934,3265,265160,31,31,MaidenMotherCrone (orphan_account)
The Contract,5,2025,English,885075,16555,32144,7284,2610366,149,ni podatka,DebsTheSlytherinSnapeFan
"All Hail the Dark Lord, Or Something Idiotic Like That",2,2024,English,270523,3073,13268,5009,463125,42,42,NinjaPandaScholar
Rewriting Destiny,2,2019,English,318188,1778,11948,4316,596899,76,76,WaitForTheSnitch
"You're Not A Horse, Harry!",2,2023,English,51898,1924,15395,4718,333583,38,ni podatka,Maeglin_Yedi
Intimacy,8,2025,English,309884,3301,9066,1895,503271,68,76,xStrawberry_Jams
Another Chance,5,2022,English,57529,3757,25310,8293,621973,46,ni podatka,ProfessorMicroPenis
Roads Untaken,10,2019,English,3008,125,9255,1502,52473,1,1,wynnebat
Harry Potter and the Secrets Within,9,2024,English,248218,1614,8561,2833,257954,20,ni podatka,WhoWroteThis
Spite and Normalcy,5,2022,English,142763,1248,9623,2857,269291,29,29,venus_ink
to see you shift,7,2012,English,11873,224,8447,638,144499,1,1,1electricpirate
Harry Potter at the Knees of the Marauders',5,2016,English,96899,1048,12436,1065,251943,27,27,BakenandEggs
I Know We Can Make It Better Than It Ever Was,7,2023,English,49195,590,8141,2568,197984,33,ni podatka,DreamingDemon
Aphelion,2,2025,English,100744,6022,19739,5611,450868,12,15,TimaeusKosmou
Embracing His True Self,7,2025,English,364634,1875,22700,5509,1281719,59,ni podatka,DebsTheSlytherinSnapeFan
Turn,7,2013,English,306708,2448,20792,9041,1096296,14,14,Saras_Girl
Beyond the Blood Wards ~ Book 1,5,2025,English,501774,3032,11593,3191,711385,106,106,SnapeIsMySpiritQuill
A Perfect Fit,4,2021,English,17993,231,17264,4067,347593,1,1,nothing_left_sacred
Slammed,4,2012,English,2038,263,30655,3528,268624,1,1,Faith Wood (faithwood)
In the Shadow of Your Heart,10,2017,English,51881,804,11275,3108,187600,3,3,lq_traintracks (lumosed_quill)
a life of smoke and silvered glass,7,2017,English,27794,1219,14274,3567,192708,1,1,dirgewithoutmusic
Hell is Your Son-In-Law from Another Dimension,11,2017,English,3498,170,9208,934,107739,1,1,wynnebat
What Souls Are Made Of,3,2022,English,277747,1165,10509,3241,380846,51,51,Emeralds_and_Lilies
Haunted Jaded Eyes,10,2020,English,271172,1616,9263,2782,398692,67,67,DebsTheSlytherinSnapeFan
Recursion,11,2023,English,132526,2368,15259,5191,358866,24,24,Tessa Crowley (tessacrowley)
such a softer sin,2,2016,English,15784,132,8604,1041,87603,1,1,therewascourfeyrac
Expectant,5,2018,English,62460,764,26960,6271,550243,1,1,loveglowsinthedark
That Old Black Magic,9,2019,English,77777,1449,17783,5835,433906,7,7,bixgirl1
