vrsta fandoma,fandom,število del
Anime & Manga,+Anima (Manga),52
Anime & Manga,#000000 Ultra Black (Manga),8
Anime & Manga,009-1 (Manga),5
Anime & Manga,07-Ghost,213
Anime & Manga,1 Pound no Fukuin | One-Pound Gospel,8
Anime & Manga,1×1/2-イチトニブンノイチ- | 1 x 1/2 - My Half of You (Manga),16
Anime & Manga,1年A組のモンスター | 1-nen A-gumi no Monster | The monster of 1st grade class A. (Manga),1
Anime & Manga,1/2 Wangzi | 1/2 Prince,46
Anime & Manga,10 Dance (Manga),14
Anime & Manga,40までにしたい10のこと | 10 Things I Want to Do Before I Turn 40 (Manga),2
Anime & Manga,100万の命の上に俺は立っている | I&#39;m Standing on a Million Lives (Anime),9
Anime & Manga,11eyes (Anime),4
Anime & Manga,11th Cat,2
Anime & Manga,11人いる! | They Were Eleven (Manga),2
Anime & Manga,12時の鐘が鳴る | 12-ji no Kane ga Naru | 12 O&#39;Clock Bell Rings (Manga),2
Anime & Manga,12歳。～ちっちゃなムネのトキメキ～ | 12-sai.: Chicchana Mune no Tokimeki (Anime),1
Anime & Manga,14歳の恋 | 14-sai no Koi | Love at Fourteen (Manga),6
Anime & Manga,15 明刹工業高校ラグビー部 | 15 - Meisetsu Kougyou Koukou Rugby Bu,13
Anime & Manga,16bit Sensation: Another Layer (Anime),2
Anime & Manga,18if (Anime),2
Anime & Manga,1999 Nen 7 no Tsuki - Shanghai,1
Anime & Manga,2.43 清陰高校男子バレー部 | 2.43: Seiin Koukou Danshi Volley-bu (Anime),98
Anime & Manga,2.5次元の誘惑 | 2.5-jigen no Ririsa | 2.5 Dimensional Seduction (Anime),3
Anime & Manga,20 Mensou ni Onegai | Man of Many Faces,8
Anime & Manga,20世紀少年 | 20th Century Boys (Manga),26
Anime & Manga,22/7 | ナナブンノニジュウニ | Nanabun no Nijuuni (Anime),16
Anime & Manga,25時のゴーストライター | 25-ji no Ghost Writer | Ghost Writer at Twenty-Five O&#39;clock (Manga),1
Anime & Manga,25歳の女子高生 | 25-Year Old High School Girl (Manga),4
Anime & Manga,2DK Gペン 目覚まし時計。 | 2DK G Pen Mezamashidokei. | 2DK G-pen Alarm clock. (Manga),2
Anime & Manga,30歳まで童貞でいたら魔法少女になりました | 30-sai made Doutei de Itara Mahou Shoujo ni Narimashita (Manga),2
Anime & Manga,300年封印されし邪龍ちゃんと友達になりました | 300-nen Fuuin Sareshi Jaryuu-chan to Tomodachi ni Narimashita (Manga),1
Anime & Manga,3D彼女リアルガール | 3D Kanojo: Real Girl (Anime),4
Anime & Manga,3x3 Eyes,9
Anime & Manga,4番サード | Yoban Sado (Manga),5
Anime & Manga,秒速5センチメートル | 5 Centimeters per Second (2007),10
Anime & Manga,666 Satan | O-Parts Hunter (Manga),9
Anime & Manga,7 Seeds,36
Anime & Manga,70億の針 | 7 Billion Needles (Manga),1
Anime & Manga,ループ7回目の悪役令嬢は元敵国で自由気ままな花嫁生活を満喫する | 7th Time Loop: The Villainess Enjoys a Carefree Life Married to Her Worst Enemy! (Anime),6
Anime & Manga,7人のシェイクスピア | 7-nin no Shakespeare | Seven Shakespeares (Manga),2
Anime & Manga,8人の戦士 | 8-nin no Senshi | Dick Fight Island (Manga),9
Anime & Manga,９番目のムサシ | 9 Banme no Musashi | Musashi No. 9,1
Anime & Manga,91 Days (Anime),257
Anime & Manga,Aチャンネル | A Channel,2
Anime & Manga,A-BOUT! (Manga),1
Anime & Manga,A.I.C.O. -Incarnation- (Anime),4
Anime & Manga,A3! (Anime),845
Anime & Manga,あーとかうーしか言えない | Aa toka Uu shika Ienai (Manga),1
Anime & Manga,ABARA (Manga),1
Anime & Manga,アベノ橋魔法☆商店街 | Abenobashi Mahou Shoutengai | Magical Shopping Arcade Abenobashi (Anime),3
Anime & Manga,薔薇監獄の獣たち | Abigaile no Kemono-tachi | Beasts of Abigaile (Manga),1
Anime & Manga,Ability Shop (Manga),2
Anime & Manga,Absolute Duo (Anime),4
Anime & Manga,ACCA13区監察課 | ACCA 13-ku Kansatsuka,253
Anime & Manga,Accel World (Anime),52
Anime & Manga,あっちこっち | Acchi Kocchi (Anime),14
Anime & Manga,エースの休日 | Ace no Kyuujitsu (Manga),2
Anime & Manga,Ace wo Nerae! | Aim for the Ace!,8
Anime & Manga,Acid Town (Manga),3
Anime & Manga,Acma:Game (Manga),8
Anime & Manga,Acro Trip (Anime),6
Anime & Manga,Act-Age (Manga),20
Anime & Manga,Action Heroine Cheer Fruits (Anime),2
Anime & Manga,Active Raid - 機動強襲室第八係 | Active Raid: Kidou Kyoushuushitsu Daihachigakari,4
Anime & Manga,Actors: Songs Connection (Anime),22
Anime & Manga,AD Police (Anime 1990),1
Anime & Manga,Adabana (Manga),1
Anime & Manga,艶漢 | Adekan (Manga),12
Anime & Manga,Adolf ni Tsugu | Adolf | Message to Adolf,1
Anime & Manga,Adolte and Adarte (Manga),1
Anime & Manga,Aegis (Manhwa),2
Anime & Manga,Afro Samurai (Anime),14
Anime & Manga,After God (Manga),35
Anime & Manga,After Hours (Manga),1
Anime & Manga,After School Mate (Manga),2
Anime & Manga,放課後保健室 | After School Nightmare (Manga),6
Anime & Manga,Agent Aika (Anime),14
Anime & Manga,アグレッシブ烈子 | Aggressive Retsuko | Aggretsuko (Anime),440
Anime & Manga,ああっ女神さまっ | Ah! Megami-sama! | Oh My Goddess!,180
Anime & Manga,阿波連さんははかれない | Aharen-san wa Hakarenai | Aharen is Indecipherable (Manga),6
Anime & Manga,あひるの空 | Ahiru no Sora (Anime),28
Anime & Manga,あひるの空 | Ahiru no Sora (Manga),17
Anime & Manga,Aho-Girl (Anime &amp; Manga),3
Anime & Manga,愛が重い地雷系ヴァンパイア | Ai ga Omoi Jirai-kei Vampire (Manga),1
Anime & Manga,AIが止まらない! | AI ga Tomaranai! | A.I. Love you (Manga),3
Anime & Manga,Ai Kora,1
Anime & Manga,愛の学校クオレ物語 | Ai no Gakkou Cuore Monogatari (Anime),3
Anime & Manga,AIの遺電子 | Ai no Idenshi | The Gene of AI (Anime),3
Anime & Manga,間の楔 | Ai no Kusabi (Anime),768
Anime & Manga,愛を与える獣達 | Ai wo Ataeru Kemonotachi (Manga),1
Anime & Manga,Ai Yori Aoshi | Bluer Than Indigo,12
Anime & Manga,愛人 - 田中ユタカ | Ai-Ren - Tanaka Yutaka (Manga),1
Anime & Manga,相方 | Aikata (Manga),1
Anime & Manga,アイカツ! アイドルカツドウ! | Aikatsu!,200
Anime & Manga,愛気 | AIKI (Manga),3
Anime & Manga,Air (2005),20
Anime & Manga,Air Gear,108
Anime & Manga,Air Master (Anime &amp; Manga),12
